ICD9  ICD10 Desc  Incl  Excl1 Excl2 Codealso  UseAddl
794.02	R94.01	Abnormal electroencephalogram [EEG]	No	No	No	No	No
V80.09	Z13.858	Encounter for screening for other nervous system disorders	No	No	No	No	No
781.2	R26.9	Unspecified abnormalities of gait and mobility	No	No	No	No	No
307.81	G44.209	Tension-type headache, unspecified, not intractable	Tension headache NOS	No	No	No	No
780.79	R53.1	Weakness	Asthenia NOS	age-related weakness (R54)	No	No	No
434.91	I63.50	Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebral artery	No	No	No	No	No
356.9	G60.9	Hereditary and idiopathic neuropathy, unspecified	No	No	No	No	No
368.9	H53.9	Unspecified visual disturbance	No	No	No	No	No
434.11	I63.40	Cerebral infarction due to embolism of unspecified cerebral artery	No	No	No	No	No
780.93	R41.3	Other amnesia	Amnesia NOS	amnestic disorder due to known physiologic condition (F04)	No	No	No
723.1	M54.2	Cervicalgia	No	cervicalgia due to intervertebral cervical disc disorder (M50.-)	No	No	No
368.2	H53.2	Diplopia	Double vision	No	No	No	No
333.1	G25.0	Essential tremor	Familial tremor	tremor NOS (R25.1)	No	No	No
437.3	I67.1	Cerebral aneurysm, nonruptured	Cerebral aneurysm NOS	congenital cerebral aneurysm, nonruptured (Q28.-)	No	No	No
794.09	R94.02	Abnormal brain scan	No	No	No	No	No
331.83	G31.84	Mild cognitive impairment, so stated	No	age related cognitive decline (R41.81)	No	No	No
377.49	H47.099	Other disorders of optic nerve, not elsewhere classified, unspecified eye	No	No	No	No	No
729.5	M79.609	Pain in unspecified limb	Pain in limb NOS	No	No	No	No
435.9	G45.9	Transient cerebral ischemic attack, unspecified	Spasm of cerebral artery	No	No	No	No
729.1	M79.1	Myalgia	Myofascial pain syndrome	fibromyalgia (M79.7)	No	No	No
345.91	G40.919	Epilepsy, unspecified, intractable, without status epilepticus	No	No	No	No	No
333.83	G24.3	Spasmodic torticollis	No	congenital torticollis (Q68.0)	No	No	No
355.9	G58.9	Mononeuropathy, unspecified	No	No	No	No	No
794.17	R94.131	Abnormal electromyogram [EMG]	No	electromyogram of eye (R94.113)	No	No	No
348.2	G93.2	Benign intracranial hypertension	No	hypertensive encephalopathy (I67.4)	No	No	No
781.3	R27.9	Unspecified lack of coordination	No	No	No	No	No
427.31	I48.91	Unspecified atrial fibrillation	No	No	No	No	No
345.41	G40.219	Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable, without status epilepticus	No	No	No	No	No
780.09	R40.0	Somnolence	Drowsiness	coma (R40.2-)	No	No	No
724.4	M54.17	Radiculopathy, lumbosacral region	No	No	No	No	No
333.94	G25.81	Restless legs syndrome	No	No	No	No	No
268.9	E55.9	Vitamin D deficiency, unspecified	Avitaminosis D	No	No	No	No
724.5	M54.9	Dorsalgia, unspecified	Backache NOS	No	No	No	No
386.11	H81.13	Benign paroxysmal vertigo, bilateral	No	No	No	No	No
368.8	H53.8	Other visual disturbances	No	No	No	No	No
339.11	G44.219	Episodic tension-type headache, not intractable	Episodic tension-type headache NOS	No	No	No	No
350.1	G50.0	Trigeminal neuralgia	Syndrome of paroxysmal facial pain	No	No	No	No
348.31	G93.41	Metabolic encephalopathy	Septic encephalopathy	No	No	No	No
333.2	G25.3	Myoclonus	Drug-induced myoclonus	facial myokymia (G51.4)	No	No	code for adverse effect, if applicable, to identify drug (T36-T50 with fifth or sixth character 5)
336.9	G95.9	Disease of spinal cord, unspecified	Myelopathy NOS	No	No	No	No
728.87	M62.81	Muscle weakness (generalized)	No	No	No	No	No
343.9	G80.9	Cerebral palsy, unspecified	Cerebral palsy NOS	No	No	No	No
780.02	R40.4	Transient alteration of awareness	No	No	No	No	No
434.01	I63.30	Cerebral infarction due to thrombosis of unspecified cerebral artery	No	No	No	No	No
724.2	M54.5	Low back pain	Loin pain	low back strain (S39.012)	No	No	No
225.2	D32.0	Benign neoplasm of cerebral meninges	No	No	No	No	No
